date_of_interest,CASE_COUNT
2/29/20,1
3/1/20,0
3/2/20,0
3/3/20,1
3/4/20,5
3/5/20,3
3/6/20,8
3/7/20,7
3/8/20,21
3/9/20,57
3/10/20,69
3/11/20,155
3/12/20,355
3/13/20,619
3/14/20,642
3/15/20,1035
3/16/20,2121
3/17/20,2452
3/18/20,2971
3/19/20,3707
3/20/20,4007
3/21/20,2638
3/22/20,2580
3/23/20,3570
3/24/20,4500
3/25/20,4874
3/26/20,5046
3/27/20,5117
3/28/20,3480
3/29/20,3561
3/30/20,6130
3/31/20,5459
4/1/20,5448
4/2/20,5747
4/3/20,5669
4/4/20,3864
4/5/20,3781
4/6/20,6354
4/7/20,6042
4/8/20,5579
4/9/20,5072
4/10/20,4510
4/11/20,3733
4/12/20,2887
4/13/20,3312
4/14/20,4144
4/15/20,3875
4/16/20,3531
4/17/20,3584
4/18/20,2172
4/19/20,2346
4/20/20,3792
4/21/20,3063
4/22/20,3447
4/23/20,2841
4/24/20,2535
4/25/20,1595
4/26/20,1003
4/27/20,2288
4/28/20,2727
4/29/20,2340
4/30/20,2022
5/1/20,1887
5/2/20,1058
5/3/20,787
5/4/20,1550
5/5/20,1512
5/6/20,1398
5/7/20,1239
5/8/20,1081
5/9/20,657
5/10/20,457
5/11/20,1231
5/12/20,1285
5/13/20,1334
5/14/20,1110
5/15/20,873
5/16/20,485
5/17/20,360
5/18/20,895
5/19/20,1003
5/20/20,1077
5/21/20,1069
5/22/20,1037
5/23/20,456
5/24/20,467
5/25/20,465
5/26/20,1053
5/27/20,744
5/28/20,646
5/29/20,642
5/30/20,348
5/31/20,230
6/1/20,686
6/2/20,572
6/3/20,514
6/4/20,523
6/5/20,403
6/6/20,246
6/7/20,197
6/8/20,450
6/9/20,421
6/10/20,365
6/11/20,365
6/12/20,410
6/13/20,196
6/14/20,180
6/15/20,381
6/16/20,420
6/17/20,356
6/18/20,378
6/19/20,362
6/20/20,203
6/21/20,172
6/22/20,402
6/23/20,382
6/24/20,381
6/25/20,299
6/26/20,316
6/27/20,206
6/28/20,202
6/29/20,437
6/30/20,442
7/1/20,397
7/2/20,416
7/3/20,235
7/4/20,120
7/5/20,154
7/6/20,433
7/7/20,461
7/8/20,437
7/9/20,393
7/10/20,307
7/11/20,259
7/12/20,224
7/13/20,483
7/14/20,403
7/15/20,439
7/16/20,415
7/17/20,417
7/18/20,216
7/19/20,175
7/20/20,402
7/21/20,340
7/22/20,330
7/23/20,308
7/24/20,300
7/25/20,153
7/26/20,140
7/27/20,314
7/28/20,315
7/29/20,289
7/30/20,274
7/31/20,263
8/1/20,189
8/2/20,138
8/3/20,348
8/4/20,187
8/5/20,298
8/6/20,290
8/7/20,255
8/8/20,161
8/9/20,133
8/10/20,311
8/11/20,264
8/12/20,320
8/13/20,277
8/14/20,277
8/15/20,151
8/16/20,140
8/17/20,333
8/18/20,285
8/19/20,257
8/20/20,227
8/21/20,252
8/22/20,136
8/23/20,150
8/24/20,298
8/25/20,283
8/26/20,313
8/27/20,273
8/28/20,279
8/29/20,128
8/30/20,186
8/31/20,315
9/1/20,295
9/2/20,271
9/3/20,273
9/4/20,230
9/5/20,155
9/6/20,207
9/7/20,218
9/8/20,395
9/9/20,352
9/10/20,323
9/11/20,313
9/12/20,202
9/13/20,254
9/14/20,434
9/15/20,338
9/16/20,367
9/17/20,353
9/18/20,283
9/19/20,158
9/20/20,158
9/21/20,513
9/22/20,404
9/23/20,531
9/24/20,476
9/25/20,456
9/26/20,279
9/27/20,382
9/28/20,436
9/29/20,686
9/30/20,582
10/1/20,613
10/2/20,597
10/3/20,277
10/4/20,335
10/5/20,763
10/6/20,571
10/7/20,542
10/8/20,523
10/9/20,524
10/10/20,313
10/11/20,281
10/12/20,515
10/13/20,588
10/14/20,580
10/15/20,600
10/16/20,503
10/17/20,367
10/18/20,411
10/19/20,626
10/20/20,603
10/21/20,653
10/22/20,758
